Row, Cumulative Sum
1109, 189465
1110, 209610
1111, 225675
1112, 235620
1113, 237660
1114, 239445
1115, 240975
1116, 240975
1117, 240975
1118, 241230
1119, 241230
1120, 240975
1121, 239190
1122, 238680
1123, 237150
1124, 235365
1125, 233580
1126, 221085
1127, 208335
1128, 201195
1129, 201450
1130, 207825
1131, 206805
1132, 204510
1133, 197880
1134, 202215
1135, 197115
1136, 192015
1137, 187935
1138, 183855
1139, 180030
1140, 162180
1141, 160650
1142, 162690
1143, 163965
1144, 158355
1145, 152745
1146, 148155
1147, 143565
1148, 131835
1149, 134130
1150, 165750
1151, 202470
1152, 222870
1153, 225675
1154, 224655
1155, 224400
1156, 227970
1157, 230520
1158, 234090
1159, 234600
1160, 235110
1161, 231030
1162, 229245
1163, 225930
1164, 220830
1165, 219810
1166, 214710
1167, 207315
1168, 201195
1169, 201450
1170, 198645
1171, 200685
1172, 202725
1173, 204765
1174, 209355
1175, 211395
1176, 210885
1177, 199665
1178, 193035
1179, 183090
1180, 172635
1181, 176205
1182, 168300
1183, 160395
1184, 151215
1185, 144585
1186, 151470
1187, 152745
1188, 147900
1189, 157590
1190, 169065
1191, 177735
1192, 192525
1193, 201705
1194, 213945
1195, 222360
1196, 228480
1197, 230775
1198, 230520
1199, 232815
1200, 234600
1201, 234345
1202, 235620
1203, 234855
1204, 233580
1205, 233325
1206, 235110
1207, 233070
1208, 226950
1209, 219300
1210, 215730
1211, 203490
1212, 183600
1213, 175440
1214, 185130
1215, 198645
1216, 202725
1217, 196350
1218, 194310
1219, 191760
1220, 185640
1221, 171870
1222, 163200
1223, 154530
1224, 149430
1225, 141270
1226, 132345
1227, 123930
1228, 124185
1229, 150960
1230, 181560
1231, 205785
1232, 214965
1233, 225420
1234, 231540
1235, 234345
1236, 233835
1237, 234855
1238, 236385
1239, 237150
1240, 235110
1241, 233325
1242, 232815
1243, 225675
1244, 215475
1245, 207825
1246, 210630
1247, 217260
1248, 209355
1249, 206550
1250, 209100
1251, 212415
1252, 206295
1253, 202980
1254, 207060
1255, 208080
1256, 207060
1257, 201195
1258, 195585
1259, 184110
1260, 171360
1261, 157335
1262, 148410
1263, 144330
1264, 136935
1265, 134640
1266, 132600
1267, 136425
1268, 146880
1269, 170595
1270, 189465
1271, 206040
1272, 220830
1273, 234600
1274, 236895
1275, 238170
1276, 237660
1277, 238425
1278, 238425
1279, 238170
1280, 237915
1281, 237915
1282, 238170
1283, 238935
1284, 238680
1285, 238680
1286, 237150
1287, 220320
1288, 208845
1289, 201450
1290, 215730
1291, 215985
1292, 212925
1293, 206040
1294, 201705
1295, 196350
1296, 188955
1297, 183600
1298, 175440
1299, 167280
1300, 161670
1301, 156315
1302, 149940
1303, 144840
1304, 138975
1305, 123420
1306, 117300
1307, 130305
1308, 155040
1309, 168810
1310, 183090
1311, 197625
1312, 212670
1313, 219555
1314, 224910
1315, 227460
1316, 230520
1317, 235620
1318, 236640
1319, 237150
1320, 237150
1321, 237150
1322, 237405
1323, 236895
1324, 236130
1325, 235110
1326, 233325
1327, 222870
1328, 217515
1329, 217005
1330, 224145
1331, 216495
1332, 211650
1333, 205275
1334, 184875
1335, 187935
1336, 200430
1337, 208335
1338, 205275
1339, 201450
1340, 194055
1341, 188955
1342, 182070
1343, 173145
1344, 165240
1345, 160140
1346, 156060
1347, 142290
1348, 132090
1349, 138720
1350, 143820
1351, 155295
1352, 158610
1353, 167535
1354, 181815
1355, 204255
1356, 214965
1357, 227715
1358, 233070
1359, 234855
1360, 236385
1361, 236640
1362, 239190
1363, 239190
1364, 237915
1365, 237150
1366, 234855
1367, 230520
1368, 225675
1369, 222870
1370, 222360
1371, 222615
1372, 207825
1373, 194565
1374, 187170
1375, 195330
1376, 205530
1377, 210885
1378, 211395
1379, 209610
1380, 206040
1381, 199920
1382, 192525
1383, 183855
1384, 179010
1385, 168300
1386, 156060
1387, 143310
1388, 135405
1389, 132855
1390, 126480
1391, 132855
1392, 145350
1393, 161670
1394, 171360
1395, 181560
1396, 201195
1397, 223125
1398, 231285
1399, 234855
1400, 236130
1401, 237405
1402, 237915
1403, 236385
1404, 235365
1405, 234345
1406, 232815
1407, 231540
1408, 229755
1409, 228480
1410, 226950
1411, 223125
1412, 220575
1413, 217515
1414, 216495
1415, 214965
1416, 211140
1417, 209355
1418, 206040
1419, 197625
1420, 188700
1421, 182835
1422, 176205
1423, 169320
1424, 164985
1425, 154275
1426, 145350
1427, 133110
1428, 127500
1429, 134130
1430, 144330
1431, 147135
1432, 156825
1433, 165495
1434, 190485
1435, 208335
1436, 225165
1437, 229755
1438, 233835
1439, 233580
1440, 235365
1441, 236385
1442, 236385
1443, 235875
1444, 234855
1445, 232305
1446, 230520
1447, 229500
1448, 231285
1449, 231540
1450, 233070
1451, 230775
1452, 229500
1453, 227970
1454, 226695
1455, 223890
1456, 219555
1457, 212160
1458, 210885
1459, 194310
1460, 177735
1461, 179520
1462, 204510
1463, 209865
1464, 208590
1465, 208590
1466, 202725
1467, 189465
1468, 179265
1469, 165240
1470, 153000
1471, 144330
1472, 138465
1473, 132855
1474, 130815
1475, 123930
1476, 120615
1477, 132600
1478, 170085
1479, 204510
1480, 225675
1481, 232305
