 >14.4f | find_shortest_path_new | DEBUG | Reached the end of the axis:y at position: (707, 951)
 >14.4f | find_shortest_path_new | DEBUG | Minimum distance at end of axis: 57420.19900306507, Position: 707
 >14.4f | find_shortest_path_new | DEBUG | Path found for start point: 707
 >14.4f | find_shortest_path_new | DEBUG | Finding Shortest Path from: 744
 >14.4f | find_shortest_path_new | TRACE | start: 744, axis=y, log_cost_factor=15, bias_factor=10, gradient_factor=5
 >14.4f | find_shortest_path_new | TRACE | size1: 1546, size2: 952, directions: [(-1, 0), (1, 0), (0, -1), (0, 1)]
 >14.4f | find_shortest_path_new | DEBUG | Reached the end of the axis:y at position: (744, 951)
 >14.4f | find_shortest_path_new | DEBUG | Minimum distance at end of axis: 3503.832462503948, Position: 744
 >14.4f | find_shortest_path_new | DEBUG | Path found for start point: 744
 >14.4f | find_shortest_path_new | DEBUG | Finding Shortest Path from: 791
 >14.4f | find_shortest_path_new | TRACE | start: 791, axis=y, log_cost_factor=15, bias_factor=10, gradient_factor=5
 >14.4f | find_shortest_path_new | TRACE | size1: 1546, size2: 952, directions: [(-1, 0), (1, 0), (0, -1), (0, 1)]
 >14.4f | find_shortest_path_new | DEBUG | Reached the end of the axis:y at position: (791, 951)
 >14.4f | find_shortest_path_new | DEBUG | Minimum distance at end of axis: 28382.887134875153, Position: 791
 >14.4f | find_shortest_path_new | DEBUG | Path found for start point: 791
 >14.4f | find_shortest_path_new | DEBUG | Finding Shortest Path from: 829
 >14.4f | find_shortest_path_new | TRACE | start: 829, axis=y, log_cost_factor=15, bias_factor=10, gradient_factor=5
 >14.4f | find_shortest_path_new | TRACE | size1: 1546, size2: 952, directions: [(-1, 0), (1, 0), (0, -1), (0, 1)]
 >14.4f | find_shortest_path_new | DEBUG | Reached the end of the axis:y at position: (829, 951)
 >14.4f | find_shortest_path_new | DEBUG | Minimum distance at end of axis: 14100.51518625674, Position: 829
 >14.4f | find_shortest_path_new | DEBUG | Path found for start point: 829
 >14.4f | find_shortest_path_new | DEBUG | Finding Shortest Path from: 874
 >14.4f | find_shortest_path_new | TRACE | start: 874, axis=y, log_cost_factor=15, bias_factor=10, gradient_factor=5
 >14.4f | find_shortest_path_new | TRACE | size1: 1546, size2: 952, directions: [(-1, 0), (1, 0), (0, -1), (0, 1)]
 >14.4f | find_shortest_path_new | DEBUG | Reached the end of the axis:y at position: (830, 951)
 >14.4f | find_shortest_path_new | DEBUG | Minimum distance at end of axis: 65492.55253607346, Position: 830
 >14.4f | find_shortest_path_new | DEBUG | Path found for start point: 874
 >14.4f | find_shortest_path_new | DEBUG | Finding Shortest Path from: 915
 >14.4f | find_shortest_path_new | TRACE | start: 915, axis=y, log_cost_factor=15, bias_factor=10, gradient_factor=5
 >14.4f | find_shortest_path_new | TRACE | size1: 1546, size2: 952, directions: [(-1, 0), (1, 0), (0, -1), (0, 1)]
 >14.4f | find_shortest_path_new | DEBUG | Reached the end of the axis:y at position: (915, 951)
 >14.4f | find_shortest_path_new | DEBUG | Minimum distance at end of axis: 74566.92096827753, Position: 915
 >14.4f | find_shortest_path_new | DEBUG | Path found for start point: 915
 >14.4f | find_shortest_path_new | DEBUG | Finding Shortest Path from: 962
 >14.4f | find_shortest_path_new | TRACE | start: 962, axis=y, log_cost_factor=15, bias_factor=10, gradient_factor=5
 >14.4f | find_shortest_path_new | TRACE | size1: 1546, size2: 952, directions: [(-1, 0), (1, 0), (0, -1), (0, 1)]
 >14.4f | find_shortest_path_new | DEBUG | Reached the end of the axis:y at position: (975, 951)
 >14.4f | find_shortest_path_new | DEBUG | Minimum distance at end of axis: 38138.21212657809, Position: 975
 >14.4f | find_shortest_path_new | DEBUG | Path found for start point: 962
 >14.4f | find_shortest_path_new | DEBUG | Finding Shortest Path from: 1034
 >14.4f | find_shortest_path_new | TRACE | start: 1034, axis=y, log_cost_factor=15, bias_factor=10, gradient_factor=5
 >14.4f | find_shortest_path_new | TRACE | size1: 1546, size2: 952, directions: [(-1, 0), (1, 0), (0, -1), (0, 1)]
 >14.4f | find_shortest_path_new | DEBUG | Reached the end of the axis:y at position: (1034, 951)
 >14.4f | find_shortest_path_new | DEBUG | Minimum distance at end of axis: 85418.38827133915, Position: 1034
 >14.4f | find_shortest_path_new | DEBUG | Path found for start point: 1034
 >14.4f | find_shortest_path_new | DEBUG | Finding Shortest Path from: 1077
 >14.4f | find_shortest_path_new | TRACE | start: 1077, axis=y, log_cost_factor=15, bias_factor=10, gradient_factor=5
 >14.4f | find_shortest_path_new | TRACE | size1: 1546, size2: 952, directions: [(-1, 0), (1, 0), (0, -1), (0, 1)]
 >14.4f | find_shortest_path_new | DEBUG | Reached the end of the axis:y at position: (1058, 951)
 >14.4f | find_shortest_path_new | DEBUG | Minimum distance at end of axis: 54321.11294003786, Position: 1058
 >14.4f | find_shortest_path_new | DEBUG | Path found for start point: 1077
 >14.4f | find_shortest_path_new | DEBUG | Finding Shortest Path from: 1118
 >14.4f | find_shortest_path_new | TRACE | start: 1118, axis=y, log_cost_factor=15, bias_factor=10, gradient_factor=5
 >14.4f | find_shortest_path_new | TRACE | size1: 1546, size2: 952, directions: [(-1, 0), (1, 0), (0, -1), (0, 1)]
 >14.4f | find_shortest_path_new | DEBUG | Reached the end of the axis:y at position: (1118, 951)
 >14.4f | find_shortest_path_new | DEBUG | Minimum distance at end of axis: 24912.971379813684, Position: 1118
 >14.4f | find_shortest_path_new | DEBUG | Path found for start point: 1118
 >14.4f | find_shortest_path_new | DEBUG | Finding Shortest Path from: 1157
 >14.4f | find_shortest_path_new | TRACE | start: 1157, axis=y, log_cost_factor=15, bias_factor=10, gradient_factor=5
 >14.4f | find_shortest_path_new | TRACE | size1: 1546, size2: 952, directions: [(-1, 0), (1, 0), (0, -1), (0, 1)]
 >14.4f | find_shortest_path_new | DEBUG | Reached the end of the axis:y at position: (1157, 951)
 >14.4f | find_shortest_path_new | DEBUG | Minimum distance at end of axis: 85136.69145338322, Position: 1157
 >14.4f | find_shortest_path_new | DEBUG | Path found for start point: 1157
 >14.4f | find_shortest_path_new | DEBUG | Finding Shortest Path from: 1207
 >14.4f | find_shortest_path_new | TRACE | start: 1207, axis=y, log_cost_factor=15, bias_factor=10, gradient_factor=5
 >14.4f | find_shortest_path_new | TRACE | size1: 1546, size2: 952, directions: [(-1, 0), (1, 0), (0, -1), (0, 1)]
 >14.4f | find_shortest_path_new | DEBUG | Reached the end of the axis:y at position: (1227, 951)
 >14.4f | find_shortest_path_new | DEBUG | Minimum distance at end of axis: 52473.30650087754, Position: 1227
 >14.4f | find_shortest_path_new | DEBUG | Path found for start point: 1207
 >14.4f | find_shortest_path_new | DEBUG | Finding Shortest Path from: 1242
 >14.4f | find_shortest_path_new | TRACE | start: 1242, axis=y, log_cost_factor=15, bias_factor=10, gradient_factor=5
 >14.4f | find_shortest_path_new | TRACE | size1: 1546, size2: 952, directions: [(-1, 0), (1, 0), (0, -1), (0, 1)]
 >14.4f | find_shortest_path_new | DEBUG | Reached the end of the axis:y at position: (1228, 951)
 >14.4f | find_shortest_path_new | DEBUG | Minimum distance at end of axis: 40699.78734458902, Position: 1228
 >14.4f | find_shortest_path_new | DEBUG | Path found for start point: 1242
 >14.4f | find_shortest_path_new | DEBUG | Finding Shortest Path from: 1279
 >14.4f | find_shortest_path_new | TRACE | start: 1279, axis=y, log_cost_factor=15, bias_factor=10, gradient_factor=5
 >14.4f | find_shortest_path_new | TRACE | size1: 1546, size2: 952, directions: [(-1, 0), (1, 0), (0, -1), (0, 1)]
 >14.4f | find_shortest_path_new | DEBUG | Reached the end of the axis:y at position: (1267, 951)
 >14.4f | find_shortest_path_new | DEBUG | Minimum distance at end of axis: 36760.798235537084, Position: 1267
 >14.4f | find_shortest_path_new | DEBUG | Path found for start point: 1279
 >14.4f | find_shortest_path_new | DEBUG | Finding Shortest Path from: 1326
 >14.4f | find_shortest_path_new | TRACE | start: 1326, axis=y, log_cost_factor=15, bias_factor=10, gradient_factor=5
 >14.4f | find_shortest_path_new | TRACE | size1: 1546, size2: 952, directions: [(-1, 0), (1, 0), (0, -1), (0, 1)]
 >14.4f | find_shortest_path_new | DEBUG | Reached the end of the axis:y at position: (1326, 951)
 >14.4f | find_shortest_path_new | DEBUG | Minimum distance at end of axis: 58791.693103034624, Position: 1326
 >14.4f | find_shortest_path_new | DEBUG | Path found for start point: 1326
 >14.4f | find_shortest_path_new | DEBUG | Finding Shortest Path from: 1358
 >14.4f | find_shortest_path_new | TRACE | start: 1358, axis=y, log_cost_factor=15, bias_factor=10, gradient_factor=5
 >14.4f | find_shortest_path_new | TRACE | size1: 1546, size2: 952, directions: [(-1, 0), (1, 0), (0, -1), (0, 1)]
 >14.4f | find_shortest_path_new | DEBUG | Reached the end of the axis:y at position: (1358, 951)
 >14.4f | find_shortest_path_new | DEBUG | Minimum distance at end of axis: 20415.421293337542, Position: 1358
 >14.4f | find_shortest_path_new | DEBUG | Path found for start point: 1358
 >14.4f | find_shortest_path_new | DEBUG | Finding Shortest Path from: 1398
 >14.4f | find_shortest_path_new | TRACE | start: 1398, axis=y, log_cost_factor=15, bias_factor=10, gradient_factor=5
 >14.4f | find_shortest_path_new | TRACE | size1: 1546, size2: 952, directions: [(-1, 0), (1, 0), (0, -1), (0, 1)]
 >14.4f | find_shortest_path_new | DEBUG | Reached the end of the axis:y at position: (1401, 951)
 >14.4f | find_shortest_path_new | DEBUG | Minimum distance at end of axis: 41579.65096354993, Position: 1401
 >14.4f | find_shortest_path_new | DEBUG | Path found for start point: 1398
 >14.4f | find_shortest_path_new | DEBUG | Finding Shortest Path from: 1444
 >14.4f | find_shortest_path_new | TRACE | start: 1444, axis=y, log_cost_factor=15, bias_factor=10, gradient_factor=5
 >14.4f | find_shortest_path_new | TRACE | size1: 1546, size2: 952, directions: [(-1, 0), (1, 0), (0, -1), (0, 1)]
 >14.4f | find_shortest_path_new | DEBUG | Reached the end of the axis:y at position: (1444, 951)
 >14.4f | find_shortest_path_new | DEBUG | Minimum distance at end of axis: 16578.27155458636, Position: 1444
 >14.4f | find_shortest_path_new | DEBUG | Path found for start point: 1444
 >14.4f | find_shortest_path_new | DEBUG | Finding Shortest Path from: 1487
 >14.4f | find_shortest_path_new | TRACE | start: 1487, axis=y, log_cost_factor=15, bias_factor=10, gradient_factor=5
 >14.4f | find_shortest_path_new | TRACE | size1: 1546, size2: 952, directions: [(-1, 0), (1, 0), (0, -1), (0, 1)]
 >14.4f | find_shortest_path_new | DEBUG | Reached the end of the axis:y at position: (1487, 951)
 >14.4f | find_shortest_path_new | DEBUG | Minimum distance at end of axis: 42920.53841929752, Position: 1487
 >14.4f | find_shortest_path_new | DEBUG | Path found for start point: 1487
 >14.4f | find_shortest_path_new | DEBUG | Finding Shortest Path from: 1531
 >14.4f | find_shortest_path_new | TRACE | start: 1531, axis=y, log_cost_factor=15, bias_factor=10, gradient_factor=5
 >14.4f | find_shortest_path_new | TRACE | size1: 1546, size2: 952, directions: [(-1, 0), (1, 0), (0, -1), (0, 1)]
 >14.4f | find_shortest_path_new | DEBUG | Reached the end of the axis:y at position: (1523, 951)
 >14.4f | find_shortest_path_new | DEBUG | Minimum distance at end of axis: 51417.337524589435, Position: 1523
 >14.4f | find_shortest_path_new | DEBUG | Path found for start point: 1531
 >14.4f | find_shortest_path_new | DEBUG | Finding Shortest Path from: 1545
 >14.4f | find_shortest_path_new | TRACE | start: 1545, axis=y, log_cost_factor=15, bias_factor=10, gradient_factor=5
 >14.4f | find_shortest_path_new | TRACE | size1: 1546, size2: 952, directions: [(-1, 0), (1, 0), (0, -1), (0, 1)]
 >14.4f | find_shortest_path_new | DEBUG | Reached the end of the axis:y at position: (1523, 951)
 >14.4f | find_shortest_path_new | DEBUG | Minimum distance at end of axis: 79097.24363167028, Position: 1523
 >14.4f | find_shortest_path_new | DEBUG | Path found for start point: 1545
 >14.4f | draw_path_on_image | DEBUG | Path length: 990
 >14.4f | draw_path_on_image | TRACE | Max Y: 9, Min Y: 0
 >14.4f | draw_path_on_image | DEBUG | Path length: 1032
 >14.4f | draw_path_on_image | TRACE | Max Y: 59, Min Y: 44
 >14.4f | draw_path_on_image | DEBUG | Path length: 1058
 >14.4f | draw_path_on_image | TRACE | Max Y: 112, Min Y: 89
 >14.4f | draw_path_on_image | DEBUG | Path length: 1034
 >14.4f | draw_path_on_image | TRACE | Max Y: 148, Min Y: 129
 >14.4f | draw_path_on_image | DEBUG | Path length: 1050
 >14.4f | draw_path_on_image | TRACE | Max Y: 236, Min Y: 215
 >14.4f | draw_path_on_image | DEBUG | Path length: 1056
 >14.4f | draw_path_on_image | TRACE | Max Y: 360, Min Y: 316
 >14.4f | draw_path_on_image | DEBUG | Path length: 1036
 >14.4f | draw_path_on_image | TRACE | Max Y: 393, Min Y: 375
 >14.4f | draw_path_on_image | DEBUG | Path length: 992
 >14.4f | draw_path_on_image | TRACE | Max Y: 431, Min Y: 414
 >14.4f | draw_path_on_image | DEBUG | Path length: 1053
 >14.4f | draw_path_on_image | TRACE | Max Y: 470, Min Y: 414
