Row, Cumulative Sum
1007, 204765
1008, 206295
1009, 206550
1010, 207570
1011, 207060
1012, 202470
1013, 200430
1014, 202215
1015, 210375
1016, 220575
1017, 227970
1018, 225675
1019, 222615
1020, 222105
1021, 214455
1022, 210375
1023, 207570
1024, 207825
1025, 206040
1026, 208335
1027, 215985
1028, 219300
1029, 217260
1030, 209355
1031, 195585
1032, 186150
1033, 191505
1034, 195075
1035, 190995
1036, 185640
1037, 184365
1038, 184875
1039, 184110
1040, 179520
1041, 176205
1042, 173655
1043, 178500
1044, 195330
1045, 202470
1046, 212925
1047, 214200
1048, 217005
1049, 219300
1050, 215475
1051, 211395
1052, 209355
1053, 208590
1054, 207315
1055, 205530
1056, 208590
1057, 210885
1058, 209355
1059, 209100
1060, 205530
1061, 205275
1062, 201450
1063, 198900
1064, 186150
1065, 181305
1066, 186150
1067, 187170
1068, 192270
1069, 201705
1070, 205530
1071, 205785
1072, 205530
1073, 200430
1074, 193800
1075, 198390
1076, 206040
1077, 209865
1078, 210630
1079, 205020
1080, 206550
1081, 210375
1082, 207315
1083, 203745
1084, 202470
1085, 209100
1086, 209355
1087, 211650
1088, 213435
1089, 210120
1090, 219300
1091, 220065
1092, 207315
1093, 191250
1094, 175185
1095, 176205
1096, 190230
1097, 193545
1098, 196605
1099, 196605
1100, 197115
1101, 199920
1102, 205785
1103, 215730
1104, 222105
1105, 223635
1106, 221085
1107, 223635
1108, 225930
1109, 228735
1110, 227715
1111, 225930
1112, 221085
1113, 221340
1114, 221850
1115, 223125
1116, 221850
1117, 225165
1118, 222615
1119, 217260
1120, 207315
1121, 202215
1122, 203745
1123, 204255
1124, 198390
1125, 193800
1126, 181305
1127, 175950
1128, 189975
1129, 190230
1130, 180540
1131, 176460
1132, 171870
1133, 175695
1134, 177990
1135, 190230
1136, 205275
1137, 211140
1138, 208845
1139, 207825
1140, 206040
1141, 209865
1142, 211395
1143, 213435
1144, 213180
1145, 214710
1146, 217005
1147, 220320
1148, 224910
1149, 229245
1150, 229245
1151, 226185
1152, 219555
1153, 204000
1154, 196095
1155, 187425
1156, 190230
1157, 188190
1158, 190485
1159, 193545
1160, 193035
1161, 191760
1162, 192270
1163, 184875
1164, 182580
1165, 184875
1166, 189210
1167, 196860
1168, 203490
1169, 204000
1170, 200175
1171, 201705
1172, 202470
1173, 211905
1174, 209100
1175, 202215
1176, 214455
1177, 232560
1178, 233835
1179, 229500
1180, 225420
1181, 215475
1182, 210630
1183, 207570
1184, 206040
1185, 203745
1186, 202470
1187, 208845
1188, 212925
1189, 219300
1190, 215220
1191, 210120
1192, 207315
1193, 205785
1194, 198900
1195, 189465
1196, 186150
1197, 182835
1198, 176460
1199, 185130
1200, 196350
1201, 203235
1202, 202725
1203, 212160
1204, 215220
1205, 218280
1206, 210885
1207, 199410
1208, 198900
1209, 215220
1210, 219300
1211, 219300
1212, 221340
1213, 224400
1214, 223890
1215, 220320
1216, 222360
1217, 216750
1218, 206550
1219, 197625
1220, 195840
1221, 198390
1222, 199410
1223, 197880
1224, 193290
1225, 187425
1226, 186915
1227, 191760
1228, 191505
1229, 189720
1230, 184365
1231, 186150
1232, 192780
1233, 201450
1234, 206040
1235, 208590
1236, 199155
1237, 197880
1238, 203235
1239, 215475
1240, 214455
1241, 213180
1242, 211140
1243, 213435
1244, 213945
1245, 211905
1246, 211905
1247, 208845
1248, 207315
1249, 194310
1250, 197880
1251, 213435
1252, 214455
1253, 213435
1254, 214455
1255, 214200
1256, 216240
1257, 214455
1258, 209865
1259, 217515
1260, 215985
1261, 212925
1262, 206805
1263, 203745
1264, 195075
1265, 198390
1266, 190995
1267, 189720
1268, 186660
1269, 184620
1270, 184110
1271, 182835
1272, 185385
1273, 186915
1274, 184620
1275, 191760
1276, 198390
1277, 205020
1278, 201960
1279, 201450
1280, 210120
1281, 219555
1282, 216240
1283, 216750
1284, 216240
1285, 202725
1286, 194820
1287, 201960
1288, 204000
1289, 199155
1290, 199410
1291, 201195
1292, 200940
1293, 199155
1294, 192015
1295, 184875
1296, 195585
1297, 202980
1298, 206805
1299, 208845
1300, 218025
1301, 222870
1302, 226440
1303, 211905
1304, 203235
1305, 208080
1306, 208590
1307, 205785
1308, 203235
1309, 198390
1310, 198135
1311, 202725
1312, 201195
1313, 194310
1314, 191250
1315, 193290
1316, 194820
1317, 197880
1318, 195330
1319, 189975
1320, 194820
1321, 194820
1322, 190740
1323, 190740
1324, 199920
1325, 201705
1326, 206550
1327, 208080
1328, 211650
1329, 207825
1330, 205020
1331, 207060
1332, 209610
1333, 210885
1334, 207315
1335, 206295
1336, 203235
1337, 207825
1338, 213690
1339, 215475
1340, 213435
1341, 211650
1342, 208845
1343, 196350
1344, 189465
1345, 195075
1346, 196860
1347, 200430
1348, 205530
1349, 212925
1350, 216750
1351, 220320
1352, 217005
1353, 216240
1354, 217515
1355, 223380
1356, 225930
1357, 224400
1358, 218025
1359, 207060
1360, 198900
1361, 197115
1362, 192525
1363, 194310
1364, 188955
1365, 185385
1366, 182325
1367, 184365
1368, 186915
1369, 194055
1370, 193545
1371, 190995
1372, 189465
1373, 187425
1374, 195840
1375, 204510
1376, 219045
1377, 225930
1378, 232305
1379, 233325
1380, 235620
1381, 228735
1382, 224655
1383, 224910
1384, 224400
1385, 224145
1386, 222870
1387, 218790
1388, 218535
1389, 207825
1390, 212415
1391, 214710
1392, 221595
1393, 219555
1394, 215730
1395, 211650
1396, 206295
1397, 196095
1398, 188955
1399, 177225
1400, 173910
1401, 172635
1402, 174420
1403, 187425
1404, 196860
1405, 203490
1406, 203490
1407, 212160
1408, 220830
1409, 220320
1410, 215220
1411, 212670
1412, 215475
1413, 220830
1414, 219045
1415, 219810
1416, 225420
1417, 225165
1418, 220830
1419, 221850
1420, 218790
1421, 207825
1422, 208080
1423, 215220
1424, 226185
1425, 216240
1426, 208845
1427, 200175
1428, 192015
1429, 188700
1430, 194055
1431, 201195
1432, 201960
1433, 197115
1434, 194310
1435, 192270
1436, 198900
1437, 198135
1438, 191250
1439, 188700
1440, 190230
1441, 195330
1442, 195840
1443, 203235
1444, 207315
1445, 206040
1446, 207570
1447, 214200
1448, 224655
1449, 227460
1450, 225165
1451, 224400
1452, 223890
1453, 224400
1454, 222870
1455, 222360
1456, 219555
1457, 217770
1458, 217515
1459, 219300
1460, 221850
1461, 219300
1462, 218025
1463, 221595
1464, 224400
1465, 224400
1466, 227970
1467, 232560
1468, 232050
1469, 228990
1470, 227460
1471, 220830
1472, 217770
1473, 206805
1474, 190740
1475, 178245
1476, 165240
1477, 158355
1478, 156060
1479, 172890
1480, 184875
1481, 202725
1482, 204000
1483, 209610
1484, 215730
1485, 225675
1486, 231030
1487, 232560
1488, 233835
1489, 227715
1490, 223890
1491, 220575
1492, 215220
1493, 214710
1494, 215730
1495, 215730
1496, 221340
1497, 230520
1498, 236130
1499, 240720
1500, 241740
1501, 242250
1502, 241485
1503, 237660
1504, 235110
1505, 229500
1506, 226950
1507, 225675
1508, 222615
1509, 222615
1510, 220575
1511, 220575
1512, 226950
1513, 232560
1514, 235365
1515, 239190
1516, 240975
1517, 243270
1518, 244035
1519, 244035
1520, 244545
1521, 237405
1522, 235110
1523, 230775
1524, 225930
1525, 211395
1526, 206295
1527, 195075
1528, 187425
1529, 181560
1530, 173910
1531, 164730
1532, 157845
1533, 146625
1534, 137955
1535, 124950
1536, 116535
1537, 234855
1538, 185640
1539, 173400
